sensor,label,type,points,file
Era40638,844,sender_v1.10,4113,844.csv
Era40660,866,sender_v1.10,4308,866.csv
Era40878,887,sender_v1.10,2463,887.csv
Era41935,808,sender_v1.10,4624,808.csv
Era42163,865,sender_v1.10,3038,865.csv
Era42406,888,sender_v1.10,3261,888.csv
Era42566,834,sender_v1.10,4766,834.csv
Era42607,802,sender_v1.10,7234,802.csv
Era42612,835,sender_v1.10,4554,835.csv
Era42800,849,sender_v1.10,4424,849.csv
Era43206,818,sender_v1.10,4034,818.csv
Era43788,879,sender_v1.10,3595,879.csv
Era43969,811,sender_v1.10,4492,811.csv
Era44065,845,sender_v1.10,4377,845.csv
Era44193,815,sender_v1.10,4549,815.csv
Era44403,874,sender_v1.10,3229,874.csv
Era44496,861,sender_v1.10,3943,861.csv
Era44508,846,sender_v1.10,4581,846.csv
Era44650,856,sender_v1.10,4157,856.csv
Era44821,812,sender_v1.10,4908,812.csv
Era44829,873,sender_v1.10,3502,873.csv
Era44950,871,sender_v1.10,4326,871.csv
Era45003,859,sender_v1.10,4721,859.csv
Era45023,816,sender_v1.10,4180,816.csv
Era45095,803,sender_v1.10,4126,803.csv
Era45112,877,sender_v1.10,4159,877.csv
Era45113,817,sender_v1.10,4641,817.csv
Era45462,833,sender_v1.10,3142,833.csv
Era46274,862,sender_v1.10,4316,862.csv
